s,C,C
Time,"T air 1","T air 2"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 1.0104618E+000, 2.0004964E+001, 2.0007689E+001
 2.0022541E+000, 4.0868988E+001, 4.0959765E+001
 3.0046794E+000, 1.3443035E+002, 9.3178063E+001
 4.0050064E+000, 2.6363700E+002, 4.8238759E+001
 5.0059994E+000, 2.1590305E+002, 5.8505811E+001
 6.0075637E+000, 1.5929496E+002, 7.0787451E+001
 7.0047143E+000, 3.0321606E+002, 7.3301546E+001
 8.0063010E+000, 2.3924216E+002, 9.0507094E+001
 9.0036517E+000, 3.4129858E+002, 1.1025753E+002
 1.0004495E+001, 3.2815621E+002, 1.3474838E+002
 1.1006120E+001, 3.0008513E+002, 1.3341885E+002
 1.2008955E+001, 2.8674331E+002, 1.4470758E+002
 1.3005615E+001, 2.9307530E+002, 1.8807445E+002
 1.4006711E+001, 3.0269351E+002, 1.8432795E+002
 1.5002380E+001, 3.3272677E+002, 1.9365365E+002
 1.6006621E+001, 3.4152979E+002, 1.9718010E+002
 1.7004646E+001, 3.1707052E+002, 1.8823007E+002
 1.8006667E+001, 2.8711232E+002, 2.1601756E+002
 1.9012255E+001, 2.9815273E+002, 2.2602523E+002
 2.0002142E+001, 3.6895294E+002, 2.2750434E+002
 2.1003847E+001, 4.1245764E+002, 2.3259809E+002
 2.2007531E+001, 3.0515036E+002, 2.2949769E+002
 2.3012246E+001, 3.2737463E+002, 2.4850420E+002
 2.4012736E+001, 3.4403414E+002, 2.4628174E+002
 2.5010707E+001, 3.2433068E+002, 2.4988775E+002
 2.6004951E+001, 3.6241931E+002, 2.5478767E+002
 2.7003980E+001, 3.0065049E+002, 2.5602113E+002
 2.8002295E+001, 3.3023469E+002, 2.4427327E+002
 2.9009377E+001, 2.8005608E+002, 2.4967693E+002
 3.0001825E+001, 3.0991650E+002, 2.3741087E+002
 3.1000770E+001, 3.4389514E+002, 2.2854495E+002
 3.2009919E+001, 3.0548553E+002, 2.4870066E+002
 3.3008988E+001, 3.2728785E+002, 2.6083546E+002
 3.4001519E+001, 3.4092814E+002, 2.5260257E+002
 3.5010546E+001, 3.3121476E+002, 2.4945516E+002
 3.6004826E+001, 3.4755928E+002, 2.4276206E+002
 3.7007043E+001, 3.9643472E+002, 2.6159721E+002
 3.8007004E+001, 3.4726477E+002, 2.5728317E+002
 3.9003998E+001, 3.2883743E+002, 2.5403912E+002
 4.0005418E+001, 3.2990541E+002, 2.6272680E+002
 4.1001253E+001, 3.4245072E+002, 2.6367212E+002
 4.2009957E+001, 3.2304517E+002, 2.6406355E+002
 4.3001309E+001, 3.0680109E+002, 2.5857035E+002
 4.4008435E+001, 3.1004939E+002, 2.6009915E+002
 4.5004805E+001, 3.1401735E+002, 2.6528329E+002
 4.6000294E+001, 3.1405436E+002, 2.4608389E+002
 4.7014021E+001, 3.7702474E+002, 2.4885430E+002
 4.8013114E+001, 3.6200031E+002, 2.5881902E+002
 4.9015412E+001, 3.2902511E+002, 2.4954779E+002
 5.0004838E+001, 3.4587721E+002, 2.6721160E+002
 5.1011310E+001, 3.4414312E+002, 2.5631938E+002
 5.2006642E+001, 3.0238873E+002, 2.5373542E+002
 5.3010364E+001, 3.1614945E+002, 2.5916141E+002
 5.4001883E+001, 3.6038139E+002, 2.5346703E+002
 5.5014008E+001, 3.4022369E+002, 2.4565869E+002
 5.6000972E+001, 3.4370339E+002, 2.6324164E+002
 5.7004770E+001, 3.2694760E+002, 2.6422458E+002
 5.8011506E+001, 3.5619048E+002, 2.7079762E+002
 5.9008600E+001, 3.2206130E+002, 2.6121741E+002
 6.0000000E+001, 3.5243457E+002, 2.6783970E+002
